Country,State,Year,As On Date,"Number Of Public Blood Bank  (UOM:Number), Scaling Factor:1","Number Of Private Blood Bank (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Redcross (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Trust (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Private (UOM:Number), Scaling Factor:1"
India,Mizoram,"Calendar Year (Jan - Dec), 2018",Dec-18,9,2,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2018",Dec-18,5,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2018",Dec-18,63,20,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2018",Dec-18,5,13,,,
India,Punjab,"Calendar Year (Jan - Dec), 2018",Dec-18,51,65,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",Dec-18,61,80,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Dec-18,2,1,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Dec-18,99,194,,,
India,Telangana,"Calendar Year (Jan - Dec), 2018",Dec-18,30,150,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Dec-18,2.00000000000000000000,1.00000000000000000000,,,
India,Tripura,"Calendar Year (Jan - Dec), 2018",Dec-18,11,2,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Dec-18,105,222,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Dec-18,23,16,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Dec-18,96,45,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2017",Jun-17,2,1,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",Jun-17,32,118,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",Jun-17,9,1,,,
India,Assam,"Calendar Year (Jan - Dec), 2017",Jun-17,38,30,,,
India,Bihar,"Calendar Year (Jan - Dec), 2017",Jun-17,35,41,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2017",Jun-17,3,1,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",Jun-17,27,40,,,
India,Delhi,"Calendar Year (Jan - Dec), 2017",Jun-17,23,46,,,
India,Goa,"Calendar Year (Jan - Dec), 2017",Jun-17,3,4,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Jun-17,28,117,,,
India,Haryana,"Calendar Year (Jan - Dec), 2017",Jun-17,26,64,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",Jun-17,19,3,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2017",Jun-17,24.45317150122583810250,3.91250744019613409640,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",Jun-17,27,22,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2017",Jun-17,40,160,,,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Jun-17,41,127,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2017",Jun-17,0.54682849877416189750,0.08749255980386590360,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",Jun-17,1,0,,,
